feature,importance
Units Sold,0.42226216
Units Ordered,0.10162894
inventory_to_sales_ratio,0.092099704
demand_rollmean_7,0.07743902
Promotion,0.055773225
Epidemic,0.044380523
Inventory Level,0.02261565
Weather Condition_enc,0.016577965
Category_enc,0.013663984
demand_rollmean_14,0.011949517
demand_lag_1,0.010349676
Price,0.008474496
Product ID_enc,0.0071587693
Discount,0.0069439355
Region_enc,0.0069005224
Store ID_enc,0.006571988
stockout_flag,0.0062514427
Competitor Pricing,0.006097009
units_sold_rollmean_7,0.005981558
Seasonality_enc,0.0057995953
demand_rollmean_30,0.0054918956
discounted_price,0.005333261
demand_rollstd_7,0.0053236918
demand_rollstd_14,0.0050419704
demand_rollstd_30,0.0045211166
week_of_year,0.0038923558
units_sold_lag_1,0.0037712916
demand_trend,0.0035018236
demand_lag_7,0.0034710995
units_sold_lag_7,0.003415366
demand_lag_14,0.0034034501
price_gap_pct,0.0033059951
month,0.0032981278
price_gap_vs_competitor,0.0032779821
day_of_month,0.003213913
units_sold_lag_14,0.0032063304
quarter,0.0026678538
day_of_week,0.0025853657
is_weekend,0.0023574524
